p_infected,p_infected_low,p_infected_high,days
2.15,2.05,2.25,1031
2.05,1.96,2.14,1032
1.95,1.87,2.04,1033
1.87,1.78,1.95,1034
1.79,1.7,1.87,1035
1.72,1.63,1.8,1036
1.66,1.57,1.74,1037
1.61,1.53,1.7,1038
1.58,1.49,1.66,1039
1.56,1.47,1.64,1040
1.55,1.47,1.63,1041
1.55,1.47,1.62,1042
1.56,1.48,1.63,1043
1.57,1.5,1.65,1044
1.6,1.52,1.68,1045
1.63,1.55,1.72,1046
1.67,1.59,1.76,1047
1.71,1.62,1.8,1048
1.75,1.66,1.84,1049
1.79,1.7,1.89,1050
1.83,1.74,1.93,1051
1.86,1.77,1.96,1052
1.9,1.81,2,1053
1.93,1.83,2.03,1054
1.95,1.86,2.06,1055
1.98,1.88,2.09,1056
2,1.89,2.11,1057
2.02,1.91,2.13,1058
2.04,1.93,2.15,1059
2.06,1.95,2.17,1060
2.08,1.98,2.19,1061
2.1,2,2.21,1062
2.13,2.03,2.23,1063
2.16,2.06,2.27,1064
2.2,2.08,2.32,1065
2.24,2.09,2.38,1066
2.28,2.11,2.45,1067
2.33,2.13,2.54,1068
1.5,1.43,1.58,1108
1.49,1.41,1.56,1109
1.48,1.4,1.55,1110
1.47,1.39,1.55,1111
1.47,1.4,1.55,1112
1.48,1.41,1.56,1113
1.5,1.43,1.58,1114
1.52,1.45,1.6,1115
1.55,1.48,1.63,1116
1.58,1.51,1.66,1117
1.62,1.54,1.7,1118
1.66,1.58,1.75,1119
1.71,1.62,1.79,1120
1.75,1.67,1.84,1121
1.8,1.71,1.89,1122
1.84,1.75,1.94,1123
1.89,1.8,1.98,1124
1.93,1.84,2.03,1125
1.98,1.89,2.07,1126
2.02,1.93,2.11,1127
2.06,1.97,2.16,1128
2.11,2.01,2.2,1129
2.15,2.05,2.24,1130
2.19,2.09,2.29,1131
2.22,2.12,2.33,1132
2.25,2.15,2.36,1133
2.28,2.18,2.39,1134
2.31,2.21,2.42,1135
2.33,2.23,2.44,1136
2.35,2.25,2.45,1137
2.36,2.26,2.46,1138
2.37,2.27,2.47,1139
2.37,2.28,2.48,1140
2.38,2.28,2.48,1141
2.38,2.28,2.48,1142
2.37,2.27,2.48,1143
2.37,2.27,2.47,1144
2.37,2.27,2.47,1145
2.36,2.26,2.46,1146
2.36,2.26,2.46,1147
2.36,2.26,2.46,1148
2.36,2.26,2.47,1149
2.37,2.26,2.49,1150
2.38,2.27,2.51,1151
2.4,2.27,2.53,1152
2.42,2.28,2.56,1153
2.44,2.3,2.59,1154
2.48,2.32,2.64,1155
2.51,2.34,2.69,1156
2.56,2.36,2.76,1157
2.61,2.38,2.84,1158
2.66,2.4,2.94,1159
2.72,2.42,3.07,1160
2.79,2.44,3.2,1161
2.87,2.46,3.35,1162
