p_infected,p_infected_low,p_infected_high,days
2.75,2.29,3.25,1025
2.37,2.005,2.76,1026
2.295,1.945,2.67,1027
2.225,1.88,2.595,1028
2.16,1.82,2.525,1029
2.1,1.765,2.465,1030
2.155,1.8725,2.46,1031
2.0875,1.8075,2.3875,1032
2.02,1.7475,2.32,1033
1.965,1.69,2.255,1034
1.91,1.645,2.195,1035
1.8625,1.605,2.1375,1036
1.8175,1.565,2.0875,1037
1.78,1.535,2.045,1038
1.75,1.5075,2.0125,1039
1.7225,1.4825,1.9875,1040
1.7075,1.46,1.9725,1041
1.69,1.4425,1.96,1042
1.68,1.43,1.9525,1043
1.675,1.425,1.9425,1044
1.6725,1.4225,1.945,1045
1.675,1.4225,1.9525,1046
1.6775,1.4325,1.9525,1047
1.6875,1.44,1.955,1048
1.6975,1.455,1.97,1049
1.7075,1.4675,1.9825,1050
1.7275,1.4775,2,1051
1.74,1.4875,2.02,1052
1.76,1.5075,2.0475,1053
1.7825,1.5175,2.08,1054
1.805,1.535,2.11,1055
1.83,1.555,2.1425,1056
1.8575,1.575,2.1725,1057
1.89,1.5975,2.205,1058
1.9175,1.6325,2.2325,1059
1.955,1.665,2.27,1060
1.995,1.7,2.3225,1061
2.04,1.73,2.3825,1062
2.0875,1.755,2.465,1063
2.1425,1.775,2.565,1064
2.2075,1.785,2.6975,1065
2.2725,1.785,2.855,1066
2.43,1.97333333333333,2.95333333333333,1067
2.33,2.13,2.54,1068
1.58,1.3675,1.82,1108
1.53,1.32,1.7575,1109
1.485,1.2825,1.715,1110
1.455,1.2525,1.68,1111
1.4325,1.23,1.6575,1112
1.42,1.2125,1.6475,1113
1.4175,1.2075,1.6475,1114
1.4275,1.2175,1.6625,1115
1.435,1.225,1.67,1116
1.4475,1.235,1.68,1117
1.4625,1.25,1.7025,1118
1.4875,1.2725,1.7275,1119
1.5175,1.2975,1.7575,1120
1.5575,1.335,1.81,1121
1.585,1.3625,1.835,1122
1.6125,1.39,1.8625,1123
1.64,1.4175,1.8925,1124
1.6725,1.4475,1.9275,1125
1.705,1.4725,1.9575,1126
1.735,1.5,1.99,1127
1.7625,1.5275,2.03,1128
1.7975,1.555,2.0625,1129
1.8275,1.5825,2.095,1130
1.8575,1.61,2.13,1131
1.8825,1.6375,2.155,1132
1.9075,1.6625,2.18,1133
1.93,1.685,2.2,1134
1.95,1.705,2.22,1135
1.965,1.72,2.235,1136
1.98,1.73,2.2475,1137
1.9875,1.735,2.26,1138
1.995,1.74,2.27,1139
2,1.745,2.2775,1140
2.005,1.7475,2.28,1141
2.0025,1.75,2.2825,1142
2.0025,1.745,2.285,1143
2,1.7425,2.2875,1144
2.0025,1.7375,2.29,1145
2,1.7325,2.295,1146
2.0025,1.73,2.305,1147
2.01,1.7225,2.3225,1148
2.015,1.7175,2.3525,1149
2.03,1.7125,2.39,1150
2.0425,1.7075,2.4325,1151
2.065,1.7025,2.4875,1152
2.09,1.695,2.555,1153
2.12,1.6875,2.635,1154
2.155,1.6775,2.735,1155
2.1925,1.6575,2.8575,1156
2.45,1.94333333333333,3.02333333333333,1157
2.5,1.92,3.17333333333333,1158
2.55333333333333,1.89666666666667,3.35333333333333,1159
2.61333333333333,1.86333333333333,3.57,1160
2.68,1.83333333333333,3.81333333333333,1161
2.75333333333333,1.80333333333333,4.07333333333333,1162
