p_infected,p_infected_low,p_infected_high,days
0.76,0.59,0.95,306
0.77,0.6,0.95,307
0.78,0.61,0.96,308
0.79,0.62,0.98,309
0.8,0.63,0.99,310
0.81,0.64,1,311
0.82,0.65,1.02,312
0.82,0.65,1.02,313
0.83,0.65,1.03,314
0.83,0.66,1.03,315
0.83,0.66,1.02,316
0.83,0.66,1.01,317
0.82,0.67,1,318
0.82,0.67,0.99,319
0.82,0.67,0.99,320
0.82,0.67,0.99,321
0.82,0.66,0.98,322
0.82,0.66,0.98,323
0.82,0.66,0.99,324
0.83,0.67,1,325
0.83,0.68,1.01,326
2.1,1.8,2.41,1026
2.06,1.78,2.36,1027
2.03,1.75,2.33,1028
2,1.72,2.3,1029
1.98,1.7,2.29,1030
1.97,1.69,2.28,1031
1.96,1.68,2.27,1032
1.95,1.67,2.27,1033
1.95,1.66,2.26,1034
1.95,1.66,2.26,1035
1.95,1.67,2.25,1036
1.94,1.67,2.24,1037
1.94,1.66,2.23,1038
1.93,1.66,2.23,1039
1.91,1.65,2.21,1040
1.9,1.63,2.2,1041
1.88,1.6,2.18,1042
1.85,1.57,2.16,1043
1.83,1.55,2.12,1044
1.79,1.52,2.09,1045
1.76,1.49,2.06,1046
1.73,1.46,2.01,1047
1.7,1.44,1.97,1048
1.67,1.42,1.94,1049
1.64,1.4,1.91,1050
1.63,1.38,1.9,1051
1.61,1.36,1.89,1052
1.61,1.36,1.89,1053
1.62,1.36,1.91,1054
1.64,1.37,1.93,1055
1.67,1.39,1.97,1056
1.72,1.43,2.02,1057
1.78,1.48,2.09,1058
1.85,1.56,2.16,1059
1.94,1.65,2.25,1060
2.05,1.75,2.36,1061
2.18,1.87,2.51,1062
2.32,1.99,2.69,1063
2.49,2.11,2.91,1064
2.67,2.23,3.18,1065
2.87,2.33,3.5,1066
3.08,2.43,3.84,1067
1.64,1.42,1.87,1108
1.59,1.37,1.82,1109
1.55,1.33,1.79,1110
1.53,1.31,1.77,1111
1.52,1.29,1.76,1112
1.52,1.28,1.77,1113
1.52,1.28,1.79,1114
1.54,1.28,1.81,1115
1.56,1.3,1.83,1116
1.59,1.32,1.86,1117
1.62,1.36,1.89,1118
1.66,1.4,1.93,1119
1.7,1.44,1.98,1120
1.7,1.44,1.98,1121
1.73,1.48,2.02,1122
1.77,1.52,2.05,1123
1.81,1.55,2.1,1124
1.86,1.6,2.15,1125
1.9,1.63,2.2,1126
1.95,1.67,2.26,1127
1.99,1.71,2.31,1128
2.04,1.75,2.37,1129
2.09,1.79,2.42,1130
2.13,1.83,2.46,1131
2.16,1.87,2.49,1132
2.2,1.91,2.52,1133
2.22,1.94,2.55,1134
2.25,1.96,2.56,1135
2.27,1.98,2.58,1136
2.28,1.99,2.59,1137
2.29,1.99,2.61,1138
2.29,1.99,2.61,1139
2.29,1.98,2.62,1140
2.29,1.98,2.61,1141
2.28,1.98,2.61,1142
2.28,1.97,2.6,1143
2.27,1.97,2.6,1144
2.27,1.96,2.59,1145
2.26,1.96,2.6,1146
2.26,1.95,2.6,1147
2.27,1.94,2.61,1148
2.27,1.93,2.65,1149
2.28,1.93,2.68,1150
2.3,1.93,2.71,1151
2.31,1.93,2.75,1152
2.34,1.92,2.81,1153
2.37,1.9,2.88,1154
2.4,1.89,2.96,1155
2.44,1.85,3.08,1156
2.48,1.82,3.22,1157
2.53,1.78,3.4,1158
2.59,1.73,3.62,1159
2.65,1.67,3.86,1160
2.71,1.62,4.14,1161
2.78,1.56,4.45,1162
