p_infected,p_infected_low,p_infected_high,days
2.37,2,2.77,1031
2.29,1.92,2.69,1032
2.2,1.84,2.61,1033
2.12,1.76,2.51,1034
2.03,1.7,2.4,1035
1.95,1.63,2.3,1036
1.87,1.56,2.2,1037
1.79,1.5,2.1,1038
1.72,1.44,2.02,1039
1.66,1.39,1.95,1040
1.61,1.33,1.9,1041
1.56,1.29,1.85,1042
1.52,1.25,1.82,1043
1.5,1.22,1.78,1044
1.48,1.2,1.77,1045
1.47,1.19,1.76,1046
1.46,1.19,1.76,1047
1.47,1.2,1.75,1048
1.48,1.22,1.77,1049
1.5,1.24,1.79,1050
1.53,1.26,1.82,1051
1.56,1.28,1.86,1052
1.59,1.31,1.91,1053
1.63,1.33,1.97,1054
1.67,1.35,2.02,1055
1.71,1.39,2.07,1056
1.74,1.42,2.12,1057
1.78,1.44,2.15,1058
1.8,1.48,2.16,1059
1.83,1.5,2.18,1060
1.85,1.53,2.21,1061
1.87,1.54,2.23,1062
1.88,1.53,2.27,1063
1.89,1.51,2.31,1064
1.91,1.47,2.39,1065
1.92,1.42,2.48,1066
1.93,1.38,2.57,1067
1.39,1.16,1.65,1108
1.32,1.1,1.56,1109
1.26,1.05,1.5,1110
1.22,1.01,1.44,1111
1.18,0.97,1.41,1112
1.15,0.94,1.38,1113
1.14,0.93,1.37,1114
1.13,0.92,1.36,1115
1.13,0.92,1.37,1116
1.14,0.93,1.38,1117
1.15,0.94,1.4,1118
1.18,0.96,1.42,1119
1.21,0.99,1.45,1120
1.34,1.1,1.61,1121
1.37,1.13,1.63,1122
1.4,1.16,1.66,1123
1.43,1.19,1.7,1124
1.47,1.22,1.75,1125
1.51,1.25,1.79,1126
1.55,1.28,1.84,1127
1.59,1.31,1.9,1128
1.64,1.35,1.95,1129
1.68,1.39,2,1130
1.73,1.44,2.05,1131
1.78,1.49,2.1,1132
1.83,1.54,2.15,1133
1.88,1.58,2.19,1134
1.92,1.62,2.25,1135
1.96,1.66,2.29,1136
2,1.69,2.34,1137
2.03,1.71,2.38,1138
2.06,1.73,2.42,1139
2.09,1.76,2.45,1140
2.11,1.78,2.47,1141
2.12,1.8,2.48,1142
2.13,1.81,2.48,1143
2.13,1.81,2.49,1144
2.14,1.81,2.5,1145
2.14,1.8,2.5,1146
2.14,1.8,2.5,1147
2.14,1.79,2.51,1148
2.14,1.78,2.53,1149
2.15,1.77,2.56,1150
2.15,1.76,2.58,1151
2.17,1.75,2.62,1152
2.18,1.74,2.67,1153
2.21,1.74,2.73,1154
2.24,1.71,2.84,1155
2.27,1.68,2.95,1156
2.31,1.65,3.09,1157
2.36,1.6,3.28,1158
2.41,1.56,3.5,1159
2.47,1.5,3.78,1160
2.54,1.44,4.1,1161
2.61,1.39,4.42,1162
