date,p_infected,p_infected_low,p_infected_high
2022/05/24,1.44,1.35,1.53
2023/01/31,1.75,1.67,1.84
2023/02/01,1.8,1.71,1.89
2023/02/02,1.84,1.75,1.94
2023/02/03,1.89,1.8,1.98
2023/02/04,1.93,1.84,2.03
2023/02/05,1.98,1.89,2.07
2023/02/06,2.02,1.93,2.11
2023/02/07,2.06,1.97,2.16
2023/02/08,2.11,2.01,2.2
2023/02/09,2.15,2.05,2.24
2023/02/10,2.19,2.09,2.29
2023/02/11,2.22,2.12,2.33
2023/02/12,2.25,2.15,2.36
2023/02/13,2.28,2.18,2.39
2023/02/14,2.31,2.21,2.42
2023/02/15,2.33,2.23,2.44
2023/02/16,2.35,2.25,2.45
2023/02/17,2.36,2.26,2.46
2023/02/18,2.37,2.27,2.47
2023/02/19,2.37,2.28,2.48
2023/02/20,2.38,2.28,2.48
2023/02/21,2.38,2.28,2.48
2023/02/22,2.37,2.27,2.48
2023/02/23,2.37,2.27,2.47
2023/02/24,2.37,2.27,2.47
2023/02/25,2.36,2.26,2.46
2023/02/26,2.36,2.26,2.46
2023/02/27,2.36,2.26,2.46
2023/02/28,2.36,2.26,2.47
2023/03/01,2.37,2.26,2.49
2023/03/02,2.38,2.27,2.51
2023/03/03,2.4,2.27,2.53
2023/03/04,2.42,2.28,2.56
2023/03/05,2.44,2.3,2.59
2023/03/06,2.48,2.32,2.64
2023/03/07,2.51,2.34,2.69
2023/03/08,2.56,2.36,2.76
2023/03/09,2.61,2.38,2.84
2023/03/10,2.66,2.4,2.94
2023/03/11,2.72,2.42,3.07
2023/03/12,2.79,2.44,3.2
2023/03/13,2.87,2.46,3.35
2020/11/07,1.24,1.18,1.3
2020/11/08,1.24,1.19,1.3
2020/11/09,1.25,1.19,1.31
2020/11/10,1.25,1.19,1.31
2020/11/11,1.25,1.19,1.31
2020/11/12,1.25,1.19,1.3
2020/11/13,1.24,1.19,1.3
2020/11/14,1.24,1.18,1.29
2020/11/15,1.22,1.17,1.28
2020/11/16,1.21,1.16,1.26
2020/11/17,1.19,1.14,1.25
2020/11/18,1.17,1.12,1.23
2020/11/19,1.15,1.09,1.2
2020/11/20,1.12,1.07,1.17
2020/11/21,1.09,1.04,1.15
2020/11/22,1.07,1.02,1.12
2020/11/23,1.04,0.99,1.09
2020/11/24,1.01,0.96,1.06
2020/11/25,0.99,0.94,1.04
2020/11/26,0.97,0.92,1.02
2020/11/27,0.95,0.9,1
2020/11/28,0.94,0.89,0.99
2020/11/29,0.93,0.88,0.98
2020/11/30,0.92,0.87,0.97
2020/12/01,0.92,0.88,0.97
2020/12/02,0.93,0.88,0.98
2020/12/03,0.94,0.89,0.98
2020/12/04,0.95,0.9,1
2020/12/05,0.96,0.91,1.01
2020/12/06,0.98,0.93,1.03
2020/12/07,1,0.95,1.05
2020/12/08,1.02,0.97,1.08
2020/12/09,1.04,0.99,1.1
2020/12/10,1.06,1.01,1.12
2020/12/11,1.09,1.03,1.14
2020/12/12,1.11,1.05,1.17
2020/12/13,1.13,1.08,1.19
2020/12/14,1.16,1.1,1.22
2020/12/15,1.18,1.12,1.25
2020/12/16,1.21,1.14,1.3
2020/12/17,1.25,1.16,1.35
2020/12/18,1.29,1.17,1.41
2021/11/20,1.67,1.6,1.76
2021/11/21,1.69,1.61,1.77
2021/11/22,1.7,1.62,1.79
