date,p_infected,p_infected_low,p_infected_high
2022/05/25,1.33,0.94,1.81
2023/01/25,1.52,1.22,1.88
2023/01/26,1.5,1.2,1.85
2023/01/27,1.48,1.18,1.82
2023/01/28,1.46,1.16,1.82
2023/01/29,1.45,1.15,1.81
2023/01/30,1.45,1.14,1.81
2023/01/31,1.44,1.13,1.81
2023/02/01,1.44,1.13,1.8
2023/02/02,1.44,1.13,1.8
2023/02/03,1.43,1.13,1.79
2023/02/04,1.43,1.13,1.78
2023/02/05,1.43,1.12,1.77
2023/02/06,1.42,1.12,1.75
2023/02/07,1.41,1.12,1.75
2023/02/08,1.4,1.11,1.73
2023/02/09,1.39,1.1,1.72
2023/02/10,1.38,1.08,1.72
2023/02/11,1.37,1.07,1.7
2023/02/12,1.35,1.05,1.69
2023/02/13,1.34,1.04,1.67
2023/02/14,1.32,1.03,1.65
2023/02/15,1.3,1.01,1.63
2023/02/16,1.29,0.99,1.61
2023/02/17,1.27,0.98,1.59
2023/02/18,1.26,0.97,1.58
2023/02/19,1.25,0.96,1.56
2023/02/20,1.24,0.95,1.56
2023/02/21,1.23,0.94,1.56
2023/02/22,1.23,0.93,1.58
2023/02/23,1.23,0.92,1.59
2023/02/24,1.23,0.91,1.6
2023/02/25,1.24,0.91,1.62
2023/02/26,1.25,0.91,1.66
2023/02/27,1.27,0.9,1.71
2023/02/28,1.29,0.9,1.76
2023/03/01,1.32,0.89,1.83
2023/03/02,1.34,0.87,1.93
2023/03/03,1.38,0.86,2.05
2023/03/04,1.42,0.84,2.18
2023/03/05,1.46,0.81,2.34
2023/03/06,1.5,0.79,2.5
2023/03/07,1.55,0.76,2.71
2020/11/07,0.95,0.7,1.24
2020/11/08,0.93,0.69,1.23
2020/11/09,0.92,0.68,1.2
2020/11/10,0.9,0.67,1.18
2020/11/11,0.88,0.65,1.17
2020/11/12,0.86,0.63,1.14
2020/11/13,0.84,0.62,1.12
2020/11/14,0.82,0.6,1.09
2020/11/15,0.8,0.58,1.07
2020/11/16,0.77,0.56,1.04
2020/11/17,0.75,0.54,1
2020/11/18,0.72,0.52,0.97
2020/11/19,0.7,0.5,0.93
2020/11/20,0.67,0.49,0.89
2020/11/21,0.65,0.47,0.86
2020/11/22,0.62,0.44,0.83
2020/11/23,0.6,0.42,0.8
2020/11/24,0.57,0.4,0.78
2020/11/25,0.55,0.39,0.75
2020/11/26,0.53,0.37,0.73
