date,p_infected,p_infected_low,p_infected_high
2022/05/25,2.01,1.66,2.4
2023/01/31,1.7,1.44,1.98
2023/02/01,1.73,1.48,2.02
2023/02/02,1.77,1.52,2.05
2023/02/03,1.81,1.55,2.1
2023/02/04,1.86,1.6,2.15
2023/02/05,1.9,1.63,2.2
2023/02/06,1.95,1.67,2.26
2023/02/07,1.99,1.71,2.31
2023/02/08,2.04,1.75,2.37
2023/02/09,2.09,1.79,2.42
2023/02/10,2.13,1.83,2.46
2023/02/11,2.16,1.87,2.49
2023/02/12,2.2,1.91,2.52
2023/02/13,2.22,1.94,2.55
2023/02/14,2.25,1.96,2.56
2023/02/15,2.27,1.98,2.58
2023/02/16,2.28,1.99,2.59
2023/02/17,2.29,1.99,2.61
2023/02/18,2.29,1.99,2.61
2023/02/19,2.29,1.98,2.62
2023/02/20,2.29,1.98,2.61
2023/02/21,2.28,1.98,2.61
2023/02/22,2.28,1.97,2.6
2023/02/23,2.27,1.97,2.6
2023/02/24,2.27,1.96,2.59
2023/02/25,2.26,1.96,2.6
2023/02/26,2.26,1.95,2.6
2023/02/27,2.27,1.94,2.61
2023/02/28,2.27,1.93,2.65
2023/03/01,2.28,1.93,2.68
2023/03/02,2.3,1.93,2.71
2023/03/03,2.31,1.93,2.75
2023/03/04,2.34,1.92,2.81
2023/03/05,2.37,1.9,2.88
2023/03/06,2.4,1.89,2.96
2023/03/07,2.44,1.85,3.08
2023/03/08,2.48,1.82,3.22
2023/03/09,2.53,1.78,3.4
2023/03/10,2.59,1.73,3.62
2023/03/11,2.65,1.67,3.86
2023/03/12,2.71,1.62,4.14
2023/03/13,2.78,1.56,4.45
2020/11/07,0.76,0.59,0.95
2020/11/08,0.77,0.6,0.95
2020/11/09,0.78,0.61,0.96
2020/11/10,0.79,0.62,0.98
2020/11/11,0.8,0.63,0.99
2020/11/12,0.81,0.64,1
2020/11/13,0.82,0.65,1.02
2020/11/14,0.82,0.65,1.02
2020/11/15,0.83,0.65,1.03
2020/11/16,0.83,0.66,1.03
2020/11/17,0.83,0.66,1.02
2020/11/18,0.83,0.66,1.01
2020/11/19,0.82,0.67,1
2020/11/20,0.82,0.67,0.99
2020/11/21,0.82,0.67,0.99
2020/11/22,0.82,0.67,0.99
2020/11/23,0.82,0.66,0.98
2020/11/24,0.82,0.66,0.98
2020/11/25,0.82,0.66,0.99
2020/11/26,0.83,0.67,1
2020/11/27,0.83,0.68,1.01
2020/11/28,0.84,0.68,1.02
2020/11/29,0.86,0.7,1.03
2020/11/30,0.87,0.71,1.04
2020/12/01,0.88,0.72,1.05
2020/12/02,0.89,0.73,1.07
2020/12/03,0.9,0.73,1.08
2020/12/04,0.91,0.74,1.09
