date,p_infected,p_infected_low,p_infected_high
2022/05/25,1.3,0.97,1.71
2023/01/31,1.34,1.1,1.61
2023/02/01,1.37,1.13,1.63
2023/02/02,1.4,1.16,1.66
2023/02/03,1.43,1.19,1.7
2023/02/04,1.47,1.22,1.75
2023/02/05,1.51,1.25,1.79
2023/02/06,1.55,1.28,1.84
2023/02/07,1.59,1.31,1.9
2023/02/08,1.64,1.35,1.95
2023/02/09,1.68,1.39,2
2023/02/10,1.73,1.44,2.05
2023/02/11,1.78,1.49,2.1
2023/02/12,1.83,1.54,2.15
2023/02/13,1.88,1.58,2.19
2023/02/14,1.92,1.62,2.25
2023/02/15,1.96,1.66,2.29
2023/02/16,2,1.69,2.34
2023/02/17,2.03,1.71,2.38
2023/02/18,2.06,1.73,2.42
2023/02/19,2.09,1.76,2.45
2023/02/20,2.11,1.78,2.47
2023/02/21,2.12,1.8,2.48
2023/02/22,2.13,1.81,2.48
2023/02/23,2.13,1.81,2.49
2023/02/24,2.14,1.81,2.5
2023/02/25,2.14,1.8,2.5
2023/02/26,2.14,1.8,2.5
2023/02/27,2.14,1.79,2.51
2023/02/28,2.14,1.78,2.53
2023/03/01,2.15,1.77,2.56
2023/03/02,2.15,1.76,2.58
2023/03/03,2.17,1.75,2.62
2023/03/04,2.18,1.74,2.67
2023/03/05,2.21,1.74,2.73
2023/03/06,2.24,1.71,2.84
2023/03/07,2.27,1.68,2.95
2023/03/08,2.31,1.65,3.09
2023/03/09,2.36,1.6,3.28
2023/03/10,2.41,1.56,3.5
2023/03/11,2.47,1.5,3.78
2023/03/12,2.54,1.44,4.1
2023/03/13,2.61,1.39,4.42
2020/11/07,0.81,0.61,1.05
2020/11/08,0.77,0.58,1
2020/11/09,0.74,0.56,0.96
2020/11/10,0.7,0.53,0.91
2020/11/11,0.67,0.5,0.88
2020/11/12,0.64,0.48,0.84
2020/11/13,0.62,0.45,0.81
2020/11/14,0.6,0.44,0.79
2020/11/15,0.58,0.43,0.77
2020/11/16,0.57,0.41,0.75
2020/11/17,0.56,0.41,0.74
2020/11/18,0.56,0.41,0.73
2020/11/19,0.56,0.42,0.73
2020/11/20,0.57,0.43,0.74
2020/11/21,0.58,0.44,0.75
2020/11/22,0.6,0.45,0.77
2020/11/23,0.62,0.47,0.8
2020/11/24,0.65,0.49,0.83
2020/11/25,0.68,0.51,0.87
2020/11/26,0.71,0.54,0.91
2020/11/27,0.75,0.57,0.96
2020/11/28,0.78,0.6,1.01
2020/11/29,0.83,0.63,1.06
2020/11/30,0.87,0.67,1.11
2020/12/01,0.92,0.71,1.17
2020/12/02,0.97,0.75,1.22
2020/12/03,1.02,0.79,1.28
2020/12/04,1.07,0.83,1.35
2020/12/05,1.12,0.88,1.41
2020/12/06,1.17,0.92,1.48
2020/12/07,1.23,0.96,1.54
2020/12/08,1.28,1.01,1.61
2020/12/09,1.34,1.06,1.67
2020/12/10,1.4,1.11,1.74
2020/12/11,1.45,1.16,1.8
2020/12/12,1.52,1.22,1.86
2020/12/13,1.58,1.26,1.94
2020/12/14,1.65,1.31,2.03
2020/12/15,1.72,1.34,2.15
2020/12/16,1.79,1.36,2.3
2020/12/17,1.87,1.38,2.47
2020/12/18,1.96,1.37,2.67
2021/11/20,2.07,1.75,2.41
2021/11/21,2.07,1.76,2.4
2021/11/22,2.07,1.76,2.4
2021/11/23,2.07,1.76,2.4
2021/11/24,2.07,1.75,2.4
2021/11/25,2.06,1.74,2.39
2021/11/26,2.05,1.73,2.39
2021/11/27,2.04,1.73,2.38
2021/11/28,2.03,1.72,2.37
2021/11/29,2.01,1.71,2.35
2021/11/30,2,1.7,2.31
2021/12/01,1.98,1.69,2.3
2021/12/02,1.97,1.68,2.28
