"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/23","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","GBWLS",3152879,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","GBWLS",3152879,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/02","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/03","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/04","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/05","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/06","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/07","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/08","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/09","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/10","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/11","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/12","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/13","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/14","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/15","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/16","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/17","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/18","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/19","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/20","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/21","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/22","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/23","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/25","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/26","GBWLS",3152879,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
